MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Eduardo,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial
PROP_0037,PARROQUIA INMACULADA CONCEPCION,Independencia Av. 910,Ver en mapa,CABA,-34.617653,-58.379107,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0038,COMISION PARA LAS PERSONAS CON DISCAPACIDAD,"Cubas, Jose 3599",Ver en mapa,CABA,-34.594272,-58.509419,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0039,Parroquia INMACULADA VIRGEN DE FATIMA,"Cantilo, Jose Luis 5656",Ver en mapa,CABA,-34.615871,-58.530183,,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Eduardo",Parroquia y anexos,U1
PROP_0040,Parroquia INMACULADO CORAZON DE MARIA,Constitucion 1077,Ver en mapa,CABA,-34.624589,-58.381139,,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0041,PARROQUIA JESUS DE LA BUENA ESPERANZA,"Cabezon, Jose Leon 3348",Ver en mapa,CABA,-34.586496,-58.510907,"Cabezon, Jose Leon 3350 | Cabezon, Jose Leon 3358",,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0042,Parroquia JESUS DE NAZARET,La Plata Av. 2258,Ver en mapa,CABA,-34.640909,-58.423203,La Plata Av. 2260 | La Plata Av. 2264,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0043,PARROQUIA JESUS MISERICORDIOSO,"Rivera, Pedro I., Dr. 4591",Ver en mapa,CABA,-34.569112,-58.48246,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0044,PARROQUIA JESUS SALVADOR,Soldado De La Frontera Av. 5184,Ver en mapa,CABA,-34.684909,-58.463784,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0045,Basílica SANTISIMO ROSARIO,Defensa 422,Ver en mapa,CABA,-34.613072,-58.371855,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0046,INSTITUTO JOSEFA CAPDEVILA DE GUTIERREZ,Arroyo 909,Ver en mapa,CABA,-34.591439,-58.380464,Arroyo 941 | Arroyo 931 | Arroyo 917,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes","Escuela, Parroquia y anexos",U1-U3/Sin relevar
PROP_0047,PARROQUIA MADRE DE DIOS,Escalada Av. 2350,Ver en mapa,CABA,-34.659614,-58.476459,Escalada Av. 2362,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0048,Parroquia MARIA MADRE DE LA ESPERANZA,Miralla 3838,Ver en mapa,CABA,-34.673238,-58.468844,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
